"IdComp";"IdModelo";"IdAnalista";"SerialComp";"HostnameComp";"StatusComp";"ObservacaoComp";"LacreComp"
1.0;2.0;1.0;"PE01H3QA";"NBSEGCWB17";"EM USO";"";""
2.0;2.0;1.0;"PE01H3TE";"NBSEGCWB18";"EM USO";"";""
3.0;2.0;1.0;"PE01H7WV";"NBSEGCWB19";"EM USO";"";""
4.0;1.0;1.0;"5DCN172";"NBENGCWB3";"EM USO";"";""
5.0;1.0;1.0;"5DBM172";"NBENGCWB4";"EM USO";"";""
6.0;1.0;1.0;"5DBS172";"NBENGCWB5";"EM USO";"";""
7.0;1.0;1.0;"5DBL172";"NBENGCWB6";"EM USO";"";""
8.0;1.0;1.0;"5DCP172";"NBENGCWB7";"EM USO";"";""
9.0;1.0;1.0;"5DBR172";"NBENGCWB8";"EM USO";"";""
10.0;1.0;1.0;"5DCS172";"NBENGCWB9";"EM USO";"";""
11.0;1.0;1.0;"5D9S172";"NBENGCWB10";"EM USO";"";""
12.0;1.0;1.0;"NDCQ172";"NBENGCWB11";"EM USO";"";""
13.0;1.0;1.0;"NDCL172";"NBENGCWB12";"EM USO";"";""
14.0;1.0;1.0;"5DCK172";"NBENGCWB13";"EM USO";"";""
15.0;1.0;1.0;"5DBQ172";"NBENGCWB14";"EM USO";"";""
16.0;1.0;1.0;"5DCR172";"NBENGCWB15";"EM USO";"";""
17.0;1.0;1.0;"5DBN172";"NBENGCWB16";"EM USO";"";""
18.0;1.0;1.0;"5DBN172";"NBENGCWB17";"EM USO";"";""
19.0;1.0;1.0;"5DCM172";"NBENGCWB18";"EM USO";"";""
20.0;1.0;1.0;"317Z442";"NBSEDE01";"EM USO";"";""
21.0;1.0;1.0;"4SGJJ82";"NBSEDE283";"EM USO";"";""
22.0;1.0;1.0;"2281542";"NBSEDE02";"EM USO";"";""
23.0;1.0;1.0;"5181542";"NBSEDE03";"EM USO";"";""
24.0;1.0;1.0;"7181542";"NBSEDE04";"EM USO";"";""
25.0;1.0;1.0;"B087542";"NBSEDE05";"EM USO";"";""
26.0;1.0;1.0;"C183542";"NBSEDE06";"EM USO";"";""
27.0;1.0;1.0;"4387542";"NBSEDE07";"EM USO";"";""
28.0;1.0;1.0;"9181542";"NBSEDE08";"EM USO";"";""
29.0;1.0;1.0;"H07Z442";"NBSEDE09";"EM USO";"";""
30.0;1.0;1.0;"9381542";"NBSEDE10";"EM USO";"";""
31.0;1.0;1.0;"G187542";"NBSEDE11";"EM USO";"";""
32.0;1.0;1.0;"2387542";"NBSEDE12";"EM USO";"";""
33.0;1.0;1.0;"9087542";"NBSEDE13";"EM USO";"";""
34.0;1.0;1.0;"J27Z442";"NBSEDE14";"EM USO";"";""
35.0;1.0;1.0;"8281542";"NBSEDE16";"EM USO";"";""
36.0;3.0;1.0;"8N069R1";"NBCWBWD01";"EM USO";"";""
37.0;4.0;1.0;"DND4M22";"NBPROCWB69";"EM USO";"";""
38.0;4.0;1.0;"8V44642";"NBPROCWB73";"EM USO";"";""
39.0;4.0;1.0;"8TVW862";"NBPROCWB74";"EM USO";"";""
40.0;4.0;1.0;"8TWD542";"NBPROCWB76";"EM USO";"";""
41.0;4.0;1.0;"8V1G542";"NBPROCWB77";"EM USO";"";""
42.0;4.0;1.0;"8V3V862";"NBPROCWB80";"EM USO";"";""
43.0;4.0;1.0;"8V3J542C";"NBPROCWB81";"EM USO";"";""
44.0;4.0;1.0;"8V33642";"NBPROCWB82";"EM USO";"";""
45.0;4.0;1.0;"8V38542";"NBPROCWB83";"EM USO";"";""
46.0;4.0;1.0;"70FK342";"NBSEDE 220";"EM USO";"";""
47.0;4.0;1.0;"8V0X862";"NBSEDE17";"EM USO";"";""
48.0;4.0;1.0;"8V3S862";"NBSEDE18";"EM USO";"";""
49.0;4.0;1.0;"8V2P862";"NBSEDE19";"EM USO";"";""
50.0;4.0;1.0;"8V48542";"NBSEDE20";"EM USO";"";""
51.0;4.0;1.0;"8V4B542";"NBSEDE21";"EM USO";"";""
52.0;4.0;1.0;"8V2G542";"NBSEDE22";"EM USO";"";""
53.0;4.0;1.0;"8V3N862";"NBSEDE23";"EM USO";"";""
54.0;4.0;1.0;"8TYC542";"NBSEDE24";"EM USO";"";""
55.0;4.0;1.0;"8V0H542";"NBSEDE25";"EM USO";"";""
56.0;4.0;1.0;"8V28542";"NBSEDE26";"EM USO";"";""
57.0;4.0;1.0;"8TT9542";"NBSEDE27";"EM USO";"";""
58.0;4.0;1.0;"8TYM862";"NBSEDE28";"EM USO";"";""
59.0;4.0;1.0;"8TYR862";"NBSEDE29";"EM USO";"";""
60.0;4.0;1.0;"8V3X862";"NBSEDE30";"EM USO";"";""
61.0;4.0;1.0;"8V40642";"NBSEDE31";"EM USO";"";""
62.0;4.0;1.0;"8TZH542";"NBSEDE32";"EM USO";"";""
63.0;4.0;1.0;"8TZ2642";"NBSEDE33";"EM USO";"";""
64.0;4.0;1.0;"8V3G542";"NBSEDE34";"EM USO";"";""
65.0;4.0;1.0;"8V2J542";"NBSEDE35";"EM USO";"";""
66.0;4.0;1.0;"8TTN862";"NBSEDE36";"EM USO";"";""
67.0;4.0;1.0;"8V01642";"NBSEDE37";"EM USO";"";""
68.0;4.0;1.0;"8V1Q862";"NBSEDE38";"EM USO";"";""
69.0;4.0;1.0;"8V46642";"NBSEDE39";"EM USO";"";""
